0|Arguing with adults, peers, parents, siblings, etc.|Μαλώνει με τους ενήλικες, τους συμμαθητές, τους γονείς, τα αδέλφια, κλπ.|Litiga con adulti, compagni, genitori, fratelli, etc.|Discute com adultos, colegas, pais, irmãos, etc.
0|Backchatting to adults, parents, carers, etc.|Αντιμιλά στους ενήλικες, τους γονείς, τους περιθάλποντες, κλπ.|Risponde in modo impertinete agli adulti, genitori, assistenti, etc.|É impertinente com adultos, pais, cuidadores, etc.
0|Banging chairs, doors, tables.|Χτυπάει τις καρέκλες, τις πόρτες, τα τραπέζια.|Sbatte le sedie, porte, tavoli|Atira com as cadeiras, mesas, portas.
0|Blurting out answers before questions have been completed/without permission|Αναφωνεί τις απαντήσεις πριν οι ερωτήσεις ολοκληρωθούν/ γραφούν/ χωρίς άδεια|Interrompe prima che la domanda sia stata completata/senza permesso|Responde antes de as questões estarem concluídas/sem autorização
0|Breaking rules|Παραβιάζει τους κανόνες|Infrange le regole|Infringe as regras
0|Bullying adults, peers, parents, siblings, etc.|Φοβερίζει τους ενήλικες, τους συμμαθητές, τους γονείς, τα αδέλφια, κλπ.|Fa il bullo con adulti, compagni, genitori, fratelli, etc.|Intimida adultos, colegas, pais, irmãos, etc.
0|Climbing on furniture, buildings, etc.|Σκαρφαλώνει σε έπιπλα, κτίρια, κλπ.|Si arrampica sui mobili, muri, etc.|Trepa para cima de móveis, edifícios.
0|Destroying personal and/or others property|Καταστρέφει την προσωπική ιδιοκτησία ή την ιδιοκτησία των άλλων|Distrugge le proprie cose e quelle degli altri|Destrói objetos pessoais e de outros
0|Having difficulty awaiting turn in games or group situations|Δυσκόλευεται να περιμένει τη σειρά του σε παιχνίδια ή σε ομαδικές καταστάσεις|Ha difficoltà a rispettare il turno nei giochi o in situazioni di gruppo|Tem dificuldade em esperar pela sua vez em situações de jogo ou de grupo
0|Fidgeting with hands or feet, or squirms in seat|Κουνάει νευρικά τα χέρια ή τα πόδια, ή στριφοργυρίζει στη θέση του/της|Si agita con le mani o piedi, si dimena sulla sedia|Irrequieto, mexe repetidamente as mãos e os pés, torce-se quando está sentado
0|Having impulsive risk behaviours when out walking with parents/carers (e.g. crossing roads without looking, running off or behaving in unexpected ways)|Συμπεριφέρεται παρορμητικά και ριψοκίνδυνα όταν περπατάει με τους γονείς/περιθάλποντες (π.χ. διασχίζει το δρόμο χωρίς να δει, απομακρύνεται ή συμπεριφέρεται απροσδόκητα|Ha comportamenti rischiosi, impulsivi e imprevedibili, quando esce con i genitori/assistenti|Tem comportamentos impulsivos de risco quando passeia com os pais/cuidadores (ex. atravessar a rua sem olhar, correr ou comportar-se de forma inesperada)
0|Interrupting or intruding on others|Διακόπτει ή επεμβαίνει σε τρίτους|Interrompe o si intromette|Interrompe ou incomoda os outros
0|Jumping on furniture, things/from high places|Πηδάει|Salta sui mobili, sulle cose/da posti alti|Salta
0|Lying to adults, peers, carers, siblings, etc.|Ψεύδεται σε ενήλικες, συμμαθητές, περιθάλποντες, αδέλφια, κλπ.|Mente agli adulti, compagni, assistenti, fratelli, etc.|Mente aos adultos, colegas, cuidadores, irmãos, etc.
0|Biting nails or tic|"Τρώει" τα νύχια του/της ή έχει κάποιο τικ|Si mangia le unghie o ha tic|Rói as unhas
0|Being restlessness|Είναι ανεξάντλητος/η|E' irrequieto|É irrequieto
0|Playing roughly|Παίζει ανταγωνιστικά|Gioca in maniera irruenta|Brinca de forma dura/arrojada
0|Being rude to parents, carers, siblings, peers, strangers, etc.|Αυθαδιάζει σε γονείς, περιθάλποντες, αδέλφια, συμμαθητές, αγνώστους, κλπ.|E' scortese con genitori, assistenti, fratelli, estranei, etc.|Falta ao respeito aos pais, cuidadores, irmãos, colegas, estranhos, etc.
0|Running in the classroom, in house, etc.|Τρέχει μέσα στην τάξη, στο σπίτι, κλπ.|Corre per la classe, per la casa, etc.|Corre pela sala, pela casa, etc.
0|Rushing activities|Επισπεύδει τις δραστηριότητές του/της|E' sbrigativo nel portare avanti le attività|Despacha/apressa as atividades
0|Shouting|Φωνάζει|Grida|Grita
0|Stealing things from home, shops, siblings, etc.|Κλέβει αντικείμενα από το σπίτι, τα καταστήματα, τα αδέλφια, κλπ.|Ruba le cose da casa, dai negozi, ai fratelli, etc.|Rouba coisas de sua casa, de lojas, dos irmãos, etc.
0|Taking or grabbing things from others|Παίρνει ή αρπάζει αντικείμενα από άλλους|Prende o afferra le cose agli altri|Pega ou tira coisas dos outros
0|Talking excessively|Μιλάει ακατάπαυστα|Parla eccessivamente|Fala excessivamente
0|Tapping|Χτυπάει|Tamburella|Tamborila
0|Teasing peers, siblings|Εμπαίζει τους συμμαθητές, τα αδέλφια|Prende in giro i compagni, fratelli|Provoca os colegas, os irmãos
0|Touching, hugging or tapping others without permission|Αγγίζει, αγκαλιάζει ή χτυπάει τους άλλους χωρίς άδεια|Tocca, stringe gli altri senza permesso|Toca ou abraça os outros sem autorização
1|Avoids or fails to complete class work|Αποφεύγει ή αποτυγχάνει να ολοκληρώσει τις σχολικές του/της εργασίες|Evità o non riesce a completare i compiti|Não completa ou evita os trabalhos na aula
1|Completes homework but is disorganised about keeping it safe or handing it in|Ολοκληρώνει τις σχολικές του εργασίες αλλά δεν είναι οργανωμένος/η για τη φύλαξη ή την παράδοση τους|Completa i compiti ma è disorganizzato nella loro gestione|Completa os trabalhos-de-casa, no entanto é desorganizado em relação à sua entrega
1|Daydreaming|Ονειροπολεί|Sogna ad occhi aperti|"Sonha acordado"
1|Difficulties in putting oral instructions into practice|Δυσκολεύεται να εφαρμόσει τις προφορικές οδηγίες στην πράξη|Ha difficoltà a mettere in pratica le istruzioni fornitegli|Tem dificuldade em concretizar as instruções orais que recebe
1|Difficulty in daily routines (e.g. cleaning teeth, washing, preparing backpack, etc.)|Δυσκολεύεται στις καθημερινές συνήθειες (π.χ. πλύσιμο δοντιών, λούσιμο, προετοιμασία σχολικής τσάντας, κλπ.)|Ha difficoltà nelle attività quotidiane (es.: lavarsi i denti, lavarsi, preparare lo zaino, etc.)|Tem dificuldade nas rotinas diárias (ex. lavar-se, lavar os dentes, preparar a mochila, etc.)
1|Difficulty maintaining concentration|Δυσκολεύεται να παραμείνει συγκεντρωμένος/η|Ha difficoltà a mantenere la concentrazione|Tem dificuldade em manter a atenção
1|Does not follow adults directions|Δεν ακολουθεί τις οδηγίες των ενηλίκων|Non segue le indicazioni fornitegli dagli adulti|Não segue as instruções dos adultos
1|Easily distracted by internal thoughts|Διασπάται εύκολα από εσωτερικές σκέψεις|E' distratto dai propri pensieri|Distrai-se facilmente com os seus pensamentos
1|Easily distracted by things around them|Διασπάται εύκολα από αντικείμενα που βρίσκονται γύρω του/της|E' distratto dalle cose che accadono attorno a lui|Distrai-se facilmente com as coisas que o rodeiam
1|Fails to copy words, numbers or sentences from the board or books correctly|Αποτυγχάνει να αντιγράψει ορθά λέξεις, αριθμούς ή προτάσεις από τον πίνακα ή τα βιβλία|Ha difficoltà a ricopiare parole, numeri, frasi dalla lavagna o dai libri|Tem dificuldade em copiar palavras, números ou frases do quadro ou dos livros sem cometer erros
1|Looking out of window during conversations|Κοιτάζει έξω από το παράθυρο κατα τη διάρκεια συνομιλιών|Guarda fuori dalla finestra durante le lezioni|Olha para fora da janela durante as conversas
1|Looses place when reading|Δεν έχει αίσθηση του χώρου όταν διαβάζει|Perde il segno quando legge|Perde-se no texto durante a leitura
1|Never knows were anything is|Αγνοεί τη θέση των αντικειμένων του/της|Non sa mai dove sono le cose|Nunca sabe onde tem as coisas
1|Often does not have proper school equipment|Συχνά δεν έχει τον απαραίτητο σχολικό εξοπλισμό|Spesso dimentica l'attrezzatura scolastica|Muitas vezes, não tem material escolar adequado
1|Often slow to get ready for family trips|Συχνά αργοπορεί να ετοιμαστεί για τις οικογενειακές εκδρομές|E' lento nel prepararsi per uscire da casa/con la famiglia|É frequentemente lento a preparar-se para as viagens da família
1|Often slow to get ready for school|Συχνά αργοπορεί να ετοιμαστεί για το σχολείο|E' lento nel prepararsi per andare a scuola|É frequentemente lento a preparar-se para a escola
1|Often wears dirty clothes|Συχνά φοράει λερωμένα ρούχα|Spesso indossa vestiti sporchi|Suja-se com facilidade
1|Pays more attention when close to the sound|Προσέχει περισσότερο όταν βρίσκεται κοντά σε ήχο|Presta maggiore attenzione quando gli si parla da vicino|Presta maior atenção quando está perto do som
1|Personal hygiene issues like spitting, nose picking|Έχει θέματα προσωπικής υγιεινής όπως φτύσιμο, ξύσιμο μύτης|Ha problemi di igiene personale, come sputare, dita nel naso|Tem dificuldades na higiene pessoal (ex. cuspir, limpar o nariz)
1|Personal noises - loud - singing chanting|Θορυβεί-τραγουδάει, φωνάζει δυνατά|Produce suoni, rumori, canticchia, ridacchia|Canta alto, grita
1|Turns in messy work|Προκαλεί ακαταστασία|E' disordinato nel proprio lavoro|É desarrumado
1|Work is generally below their ability level|Υπολείπεται λειτουργικά σε σχέση με το επίπεδο των ικανοτήτων του/της|Rende al di sotto del suo livello di abilità|O seu trabalho está geralmente abaixo do seu nível de competência
