Afghanistan|Αφγανιστάν|italian nation|Afeganistão 
Albania|Αλβανία|italian nation|Albânia
Algeria|Αλγερία|italian nation|Argélia
American Samoa|Αμερικανική Σαμόα|italian nation|Samoa Americana
Andorra|Ανδόρες|italian nation|Andorra
Angola|Αγκόλα|italian nation|Angola
Anguilla|Ανγκουίλα|italian nation|Anguilla
Antarctica|Ανταρκτική|italian nation|Antárctida
Antigua and Barbuda|Αντίγκουα και Μπαρμπούντα|italian nation|Antígua e Barbuda
Argentina|Αργεντινή|italian nation|Argentina
Armenia|Αρμενία|italian nation|Arménia
Aruba|Αρούμπα|italian nation|Aruba
Australia|Αυστραλία|italian nation|Austrália
Austria|Αυστρία|italian nation|Áustria
Azerbaijan|Αζερμπαϊτζάν|italian nation|Azerbeijão
Bahamas|Μπαχάμες|italian nation|Bahamas
Bahrain|Μπαχρέιν|italian nation|Bahrain
Bangladesh|Μπαγκλαντές|italian nation|Bangladesh
Barbados|Μπαρμπέιντος|italian nation|Barbados
Belarus|Μπελαρούς|italian nation|Bielorrússia
Belgium|Βέλγιο|italian nation|Bélgica
Belize|Μπελίζ|italian nation|Belize
Benin|Μπένιν|italian nation|Benim
Bermuda|Βερμούδες|italian nation|Bermudas
Bhutan|Μπουτάν|italian nation|Butão
Bolivia|Βολιβία|italian nation|Bolívia
Bosnia and Herzegovina|Βοσνία και Ερζεγοβίνη|italian nation|Bósnia-Herzegovina
Botswana|Μποτσβάνα|italian nation|Botswana
Brazil|Βραζιλία|italian nation|Brasil
Brunei Darussalam|Μπρουνέι Νταρουσαλάμ|italian nation|Brunei Darussalã
Bulgaria|Βουλγαρία|italian nation|Bulgária
Burkina Faso|Μπουρκίνα Φάσο|italian nation|Burkina Faso
Burundi|Μπουρουντί|italian nation|Burundi
Cambodia|Καμποδία|italian nation|Cambodja
Cameroon|Καμερούν|italian nation|Camarões
Canada|Καναδάς|italian nation|Canadá
Cape Verde|Πράσινο Ακρωτήρι|italian nation|Cabo Verde
Cayman Islands|Νησιά Καϊμάν|italian nation|Ilhas Caimão
Central African Republic|Κεντρική Αφρικανική Δημοκρατία|italian nation|República Centro-Africana
Chad|Ελβετία|italian nation|Chade
Chile|Χιλή|italian nation|Chile
China|Κίνα|italian nation|China
Christmas Island|Νησί Χριστουγέννων|italian nation|Ilha de Natal
Cocos (Keeling) Islands|Νησιά Κόκο|italian nation| Ilhas Cocos (Keeling)
Colombia|Κολομβία|italian nation|Colômbia
Comoros|Κομόρος|italian nation|Comores
Democratic Republic of the Congo (Kinshasa)|Δημοκρατία του Κονγκό|italian nation|República Democrática do Congo (Kinshasa)
Congo, Republic of (Brazzaville)|Κονγκό|italian nation|República do Congo (Brazaville)
Cook Islands|Νησιά Κουκ|italian nation|Ilhas Cook
Costa Rica|Κόστα Ρίκα|italian nation|Costa Rica
Ivory Coast|Κοτ ντ' Ιβουάρ|italian nation|Costa do Marfim
Croatia|Κροατία|italian nation|Croácia
Cuba|Κούβα|italian nation|Cuba
Cyprus|Κύπρος|italian nation|Chipre
Czech Republic|Τσέχικη Δημοκρατία|italian nation|República Checa
Denmark|Δανία|italian nation|Dinamarca
Djibouti|Ντιμπουτί|italian nation|Djibouti
Dominica|Δομινικανή Δημοκρατία|italian nation|Dominica
